accost,搭讪；上前与人攀谈
embolden,鼓励；壮胆
colander,滤器；笊篱
honorarium,酬金；谢礼
anomalous,异常的；反常的
contrite,悔悟的；痛悔的
cavil,吹毛求疵
feckless,无能的；不负责任的
husky,强壮的；嘶哑的
decorum,礼仪；端庄
ephemeral,短暂的；转瞬即逝的
coop,关进笼子；限制
eavesdrop,窃听
brassy,厚脸皮的；刺耳的
gloss,光泽；注释
bungle,笨拙地做；搞砸
equivocate,含糊其辞
despicable,可鄙的
candor,坦率；直言不讳
doyen,老前辈；资深人士
imposter,冒名顶替者；骗子
embark,上船；开始从事
effulgence,光辉；灿烂
beseech,恳求；乞求
concerted,齐心协力的；一致的
ensconce,安置；安顿
inducement,诱因；动机
gangly,瘦长笨拙的
incinerate,焚烧；火化
foible,小缺点；弱点
exhilarate,使兴高采烈
imp,小鬼；顽童
dandy,花花公子；好打扮的
covetous,垂涎的；贪婪的
commingle,混合；掺和
glisten,闪闪发光
audacious,大胆的；鲁莽的
antidote,解毒剂；矫正方法
condone,宽恕；纵容
hanker,渴望；向往
gossamer,蛛丝；薄纱
credulous,轻信的
don,穿上；赠与者（名）
figuring,计算；推测
convalesce,渐渐康复
infuriate,激怒；使愤怒
compunction,内疚；良心不安
cornucopia,丰饶之角；丰饶
din,喧闹声
impede,阻碍；妨碍
incendiary,纵火的；煽动的
dally,磨蹭；戏弄
entrap,诱捕；设套
heartending,令人心碎的
ineffable,不可言喻的；难以形容的
imbibe,吸收；饮
influx,流入；涌入
finch,雀类；燕雀
fathom,理解；测量深度
belie,掩饰；证明为假
gripe,抱怨；腹痛
astringent,收敛的；严厉的
corrugated,起皱的；波纹的
effluvium,恶臭；有害气体
ham-handed,笨手笨脚的
agog,兴奋的；急切想要的
distraught,心神错乱的；极其烦恼的
ennoble,使高贵
hieroglyph,象形文字
filly,小母马
incorrigible,不可救药的；无法改正的
connive,纵容；默许；共谋
grimace,鬼脸；面部扭曲
despotic,专制的；暴虐的
genteel,有教养的；文雅的
doggerel,打油诗
infatuate,使迷恋；使糊涂
foreword,前言；序言
charade,装模作样；你演我猜
aphorism,格言；警句
disinclination,不情愿；厌恶
infiltrate,渗透；潜入
disaffected,不满的；有叛意的
fervor,热情；狂热
anesthetic,麻醉的；麻醉剂
curmudgeon,脾气坏的老头
harry,骚扰；折磨
hack,砍；黑客
calumniate,诽谤；中伤
censorious,吹毛求疵的；苛评的
donor,捐赠者
feign,假装；伪装
dodder,蹒跚；颤抖
bromide,陈词滥调
decant,倾注
annul,废除；取消
impenitent,不悔改的；顽固的
immure,监禁；禁闭
ineluctable,不可避免的；无法逃避的
indemnity,赔偿；补偿
congenial,意气相投的；宜人的
forger,伪造者；铁匠
discompose,使不安；使混乱
gadfly,牛虻；讨厌的人
fickle,反复无常的；善变的
denigrate,诋毁；贬低
extravagant,奢侈的；过度的
askew,歪斜的；不正的
amenable,顺从的；有责任的
coax,哄劝；劝诱
impulssance,无能；无力
