abate,v,"allay (v); subside (v); palliate (v)","减轻，缓和"
abjure,v,"renounce (v); recant (v); repudiate (v)","发誓放弃；公开否认"
abstruse,adj,"recondite (adj); esoteric (adj)","深奥的；难解的"
abstemious,adj,"temperate (adj); ascetic (adj)","有节制的（饮食）"
accolade,n,"approbation (n); encomium (n); kudos (n); tribute (n)","荣誉；赞扬"
acquiesce,v,"concur (v); accede (v)","默许；顺从"
admonish,v,"reprove (v); rebuke (v); berate (v)","警告；劝诫"
affable,adj,"amiable (adj); genial (adj)","和蔼可亲的；友善的"
alacrity,n,"zeal (n); readiness (n)","敏捷；欣然同意"
allay,v,"soothe (v); palliate (v); abate (v)","减轻；缓和（情绪/疼痛）"
amenable,adj,"compliant (adj); tractable (adj); responsive (adj)","顺从的；有责任的"
amicable,adj,"amiable (adj); genial (adj)","友好的；和平的"
anathema,n,"bane (n)","极讨厌的人/事；诅咒"
anomalous,adj,"erratic (adj)","异常的；反常的"
apocryphal,adj,"dubious (adj); spurious (adj)","伪造的；可疑的"
approbation,n,"sanction (n); encomium (n)","赞许；认可"
ascetic,adj,"abstemious (adj)","禁欲的；苦行的"
assiduous,adj,"diligent (adj); sedulous (adj)","勤奋的；刻苦的"
attenuate,v,"rarefy (v); undermine (v)","使减弱；变薄"
audacious,adj,"intrepid (adj); brazen (adj)","大胆的；鲁莽的"
aver,v,"assert (v); maintain (v)","断言；坚称"
banal,adj,"trite (adj); hackneyed (adj); shopworn (adj)","陈腐的；平庸的"
belie,v,"contradict (v); disguise (v)","掩饰；证明为假"
bombast,n,"grandiloquent (adj)","夸大的言辞"
bolster,v,"support (v); reinforce (v)","支持；增强"
burnish,v,"polish (v)","打磨；抛光；改进（名声）"
candor,n,"probity (n); frankness (n)","坦率；直言不讳"
caprice,n,"vagary (n); fickle (adj)","反复无常；反复念头"
castigate,v,"lambaste (v); berate (v)","严厉斥责"
chicanery,n,"guile (n); subterfuge (n)","诡计；欺骗"
coalesce,v,"amalgamate (v); merge (v)","合并；融合"
cogent,adj,"persuasive (adj); convincing (adj)","有说服力的；令人信服的"
commensurate,adj,"proportionate (adj); tantamount (adj)","相称的；相当的"
compliant,adj,"amenable (adj); obedient (adj)","顺从的"
conciliate,v,"placate (v); mollify (v); propitiate (v)","安抚；调解"
condone,v,"overlook (v); brook (v)","宽恕；纵容"
confound,v,"perplex (v); confuse (v)","使困惑；使混淆"
contentious,adj,"polemic (adj); controversial (adj)","有争议的；好争论的"
contrite,adj,"penitent (adj)","悔悟的；痛悔的"
convoluted,adj,"tortuous (adj); involved (adj)","复杂的；盘绕的"
credulous,adj,"gullible (adj)","轻信的"
decorum,n,"propriety (n)","礼仪；端庄"
