Front,Back
abate,"词性：v<br>近义词：allay (v); subside (v); palliate (v)<br>中文：减轻，缓和"
abjure,"词性：v<br>近义词：renounce (v); recant (v); repudiate (v)<br>中文：发誓放弃；公开否认"
abstruse,"词性：adj<br>近义词：recondite (adj); esoteric (adj)<br>中文：深奥的；难解的"
abstemious,"词性：adj<br>近义词：temperate (adj); ascetic (adj)<br>中文：有节制的（饮食）"
accolade,"词性：n<br>近义词：approbation (n); encomium (n); kudos (n); tribute (n)<br>中文：荣誉；赞扬"
acquiesce,"词性：v<br>近义词：concur (v); accede (v)<br>中文：默许；顺从"
admonish,"词性：v<br>近义词：reprove (v); rebuke (v); berate (v)<br>中文：警告；劝诫"
affable,"词性：adj<br>近义词：amiable (adj); genial (adj)<br>中文：和蔼可亲的；友善的"
alacrity,"词性：n<br>近义词：zeal (n); readiness (n)<br>中文：敏捷；欣然同意"
allay,"词性：v<br>近义词：soothe (v); palliate (v); abate (v)<br>中文：减轻；缓和（情绪/疼痛）"
amenable,"词性：adj<br>近义词：compliant (adj); tractable (adj); responsive (adj)<br>中文：顺从的；有责任的"
amicable,"词性：adj<br>近义词：amiable (adj); genial (adj)<br>中文：友好的；和平的"
anathema,"词性：n<br>近义词：bane (n)<br>中文：极讨厌的人/事；诅咒"
anomalous,"词性：adj<br>近义词：erratic (adj)<br>中文：异常的；反常的"
apocryphal,"词性：adj<br>近义词：dubious (adj); spurious (adj)<br>中文：伪造的；可疑的"
approbation,"词性：n<br>近义词：sanction (n); encomium (n)<br>中文：赞许；认可"
ascetic,"词性：adj<br>近义词：abstemious (adj)<br>中文：禁欲的；苦行的"
assiduous,"词性：adj<br>近义词：diligent (adj); sedulous (adj)<br>中文：勤奋的；刻苦的"
attenuate,"词性：v<br>近义词：rarefy (v); undermine (v)<br>中文：使减弱；变薄"
audacious,"词性：adj<br>近义词：intrepid (adj); brazen (adj)<br>中文：大胆的；鲁莽的"
aver,"词性：v<br>近义词：assert (v); maintain (v)<br>中文：断言；坚称"
banal,"词性：adj<br>近义词：trite (adj); hackneyed (adj); shopworn (adj)<br>中文：陈腐的；平庸的"
belie,"词性：v<br>近义词：contradict (v); disguise (v)<br>中文：掩饰；证明为假"
bombast,"词性：n<br>近义词：grandiloquent (adj)<br>中文：夸大的言辞"
bolster,"词性：v<br>近义词：support (v); reinforce (v)<br>中文：支持；增强"
burnish,"词性：v<br>近义词：polish (v)<br>中文：打磨；抛光；改进（名声）"
candor,"词性：n<br>近义词：probity (n); frankness (n)<br>中文：坦率；直言不讳"
caprice,"词性：n<br>近义词：vagary (n); fickle (adj)<br>中文：反复无常；反复念头"
castigate,"词性：v<br>近义词：lambaste (v); berate (v)<br>中文：严厉斥责"
chicanery,"词性：n<br>近义词：guile (n); subterfuge (n)<br>中文：诡计；欺骗"
coalesce,"词性：v<br>近义词：amalgamate (v); merge (v)<br>中文：合并；融合"
cogent,"词性：adj<br>近义词：persuasive (adj); convincing (adj)<br>中文：有说服力的；令人信服的"
commensurate,"词性：adj<br>近义词：proportionate (adj); tantamount (adj)<br>中文：相称的；相当的"
compliant,"词性：adj<br>近义词：amenable (adj); obedient (adj)<br>中文：顺从的"
conciliate,"词性：v<br>近义词：placate (v); mollify (v); propitiate (v)<br>中文：安抚；调解"
condone,"词性：v<br>近义词：overlook (v); brook (v)<br>中文：宽恕；纵容"
confound,"词性：v<br>近义词：perplex (v); confuse (v)<br>中文：使困惑；使混淆"
contentious,"词性：adj<br>近义词：polemic (adj); controversial (adj)<br>中文：有争议的；好争论的"
contrite,"词性：adj<br>近义词：penitent (adj)<br>中文：悔悟的；痛悔的"
convoluted,"词性：adj<br>近义词：tortuous (adj); involved (adj)<br>中文：复杂的；盘绕的"
credulous,"词性：adj<br>近义词：gullible (adj)<br>中文：轻信的"
decorum,"词性：n<br>近义词：propriety (n)<br>中文：礼仪；端庄"
deference,"词性：n<br>近义词：obeisance (n); homage (n)<br>中文：尊重；顺从"
deprecate,"词性：v<br>近义词：denigrate (v); downplay (v)<br>中文：反对；贬低"
desiccate,"词性：v<br>近义词：dry (v); dehydrate (v)<br>中文：使干燥；脱水"
desultory,"词性：adj<br>近义词：aimless (adj); discursive (adj)<br>中文：漫无目的的；散漫的"
diatribe,"词性：n<br>近义词：tirade (n); harangue (n); rant (n)<br>中文：长篇抨击"
dilatory,"词性：adj<br>近义词：tardy (adj); procrastinate (v)<br>中文：拖拉的；慢的"
dilettante,"词性：n<br>近义词：amateur (n); neophyte (n)<br>中文：业余爱好者（含贬）"
disabuse,"词性：v<br>近义词：debunk (v); enlighten (v)<br>中文：使醒悟；纠正错误观念"
dissemble,"词性：v<br>近义词：feign (v); pretend (v)<br>中文：掩饰；假装"
disseminate,"词性：v<br>近义词：propagate (v); diffuse (v)<br>中文：传播；散布"
distend,"词性：v<br>近义词：expand (v); swell (v)<br>中文：膨胀；扩张"
dormant,"词性：adj<br>近义词：quiescent (adj); torpid (adj)<br>中文：休眠的"
dupe,"词性：n/v<br>近义词：hoodwink (v); hoax (v)<br>中文：受骗者；欺骗"
ebullient,"词性：adj<br>近义词：exuberant (adj); fervid (adj)<br>中文：热情洋溢的"
effrontery,"词性：n<br>近义词：impudent (adj)<br>中文：厚颜无耻"
elicit,"词性：v<br>近义词：evoke (v); draw out (v)<br>中文：引出；诱出"
