bravado,虚张声势
charade,装模作样；你演我猜（文字游戏）
alliterate,押头韵
adulate,谄媚，奉承
aspersion,诽谤；中伤
chevron,V 字形臂章；人字形
barefaced,公然的；厚颜无耻的
apostasy,背教；变节
choreography,编舞；舞蹈设计
brash,鲁莽的；唐突的；自以为是的
abscond,潜逃，逃匿
bracing,令人振奋的；凉爽的
annul,废除；取消
asperity,严厉；粗暴；艰苦
aver,断言；坚称
banter,打趣；玩笑
anomalous,异常的；反常的
compose,使镇定；组成；创作
appellation,名称；称号
atone,赎罪；弥补
absolve,赦免；免除（责任）
commensurate,相称的；相当的
abnegate,否认；放弃（权利、享乐）
badinage,打趣；玩笑
blurt,脱口而出
baroque,过分雕琢的；复杂的
abiding,持久的，永久的
banal,陈腐的；平庸的
complacency,自满；沾沾自喜
aggravate,加重；激怒
apoplectic,极度愤怒的；中风的
cede,割让；放弃
bluster,咆哮；虚张声势
condign,（惩罚）适当的；应得的
altruism,无私；利他主义
bellwether,领导者；风向标
abstemious,有节制的；（饮食）节俭的
albino,白化病者（或动物、植物）
abjure,发誓放弃；公开否认
brassy,厚脸皮的；刺耳的（如金属声）
ambrosial,美味的；芳香的；神仙的
blase,厌倦享乐的；玩厌了的
clandestine,秘密的；暗中的
chide,责备；斥责
cleft,裂缝；劈开的
ascendant,有影响力的；上升的
abet,教唆，怂恿；帮助
allay,减轻，缓和（情绪/疼痛）
abrade,磨损；擦伤
antidote,解毒剂；矫正方法
accrete,逐渐增长；（天体）聚积
abate,减轻，缓和
blurb,简介；推荐语
chicanery,诡计；欺骗
boggle,犹豫；退缩；困惑
carnal,肉体的；感官的
barricade,障碍物；阻碍
augur,预示；预兆
apposite,适当的；贴切的
canard,谣言；假新闻
abut,邻接，毗连
bravura,精湛大胆的表演；华彩段
banish,驱逐；消除
belabor,喋喋不休；过分强调；痛打
brook,容忍；小溪
amulet,护身符
bristle,怒发冲冠；毛发竖立；充满
ad-lib,即兴的；即兴表演（或讲话）
blazon,公开宣布；装饰
caustic,腐蚀性的；刻薄的
affinity,密切关系；吸引力；类同
arduous,艰巨的；费力的
cavern,大洞穴
anemic,贫血的；无活力的
circumvent,规避；绕过
acquiesce,默许，顺从
askew,歪斜的；不正的
barb,尖刻的批评；倒钩
appall,使惊骇；使恐惧
conciliate,安抚；调解
audacious,大胆的；鲁莽的
