peroration,结尾演说；总结陈词
misdemeanor,轻罪；品行不端
maudlin,多愁善感的（自怜的）
parquetry,镶木地板
slight,轻微的；轻蔑；冷落
metrical,格律的；有韵律的
slovenly,邋遢的；草率的
offish,冷淡的；疏远的
loll,懒洋洋地倚靠（躺）；懒散
overbearing,专横跋扈的
vernacular,口语；方言；本地话
summon,召集；传唤
succinct,简明扼要的
skirmish,小规模冲突
savanna,稀树草原
spurious,伪造的；站不住脚的
slake,解渴；满足（欲望）
warp,使扭曲；歪曲
martial,军事的；尚武的
scorch,烧焦；（使）枯黄
snub,冷落；怠慢
segment,部分；片段
theocracy,神权政治
subdue,征服；压制；抑制
taut,拉紧的；紧凑的
renegade,叛徒；变节者
ragged,衣衫褴褛的；参差不齐的
pan,抨击；严厉批评；平底锅
travesty,拙劣的模仿；歪曲
nerve,勇气；胆量；神经
timorous,胆怯的；畏缩的
pulchritude,美貌
placebo,安慰剂
loutish,粗鲁无礼的
peep,偷看；窥视
solemnity,庄严；肃穆
ripen,使成熟；成熟
knotty,棘手的；多节的
mince,切碎；委婉地说
pout,撅嘴；闹别扭
retard,阻碍；减缓
sodden,湿透的；（思想）呆板的
wastrel,败家子
raze,夷为平地
qualify,限定；使有资格
smarmy,虚情假意的；过分殷勤的
trite,陈腐的；老套的
propriety,得体；礼节；适当
vacuous,空洞的；愚蠢的
jitter,紧张不安；发抖
meek,温顺的；逆来顺受的
veer,转向；改变（话题/意见）
premeditate,预谋
sedulous,勤勉不懈的
leery,猜疑的；提防的
liken,把…比作
perfidy,背信弃义；背叛
rarefy,使稀薄；精炼
knave,无赖；恶棍
rapt,全神贯注的；入迷的
montage,蒙太奇；剪辑
sophism,诡辩
translucent,半透明的
skeptic,怀疑论者；怀疑者
stupor,恍惚；昏迷
personable,风度翩翩的；讨人喜欢的
reserved,矜持的；内向的
sluggish,迟缓的；不景气的
polished,优雅的；精炼的
matriculate,注册入学
wholesome,有益健康的；有益的
lurch,蹒跚；突然倾斜
jolt,颠簸；使震惊
sanctuary,庇护所；圣所
tribute,颂词；贡品
proliferate,激增；迅速扩散
virtuous,品德高尚的
revere,尊崇；敬畏
perfunctory,敷衍的；草率的
turncoat,变节者；叛徒
prologue,序幕；开场白
reprehend,责备；指责
tactless,不圆滑的；不得体的
mar,破坏；损毁
sonata,奏鸣曲
penury,赤贫；贫困
suffuse,（色/光/感情）充满；弥漫
prescience,预知；先见
vestige,残迹；遗迹
labile,不稳定的；易变的
sterile,贫瘠的；无菌的；不育的
paragon,典范；完人
revolt,反抗；使反感
versatile,多才多艺的；多用途的
pedestrian,平庸的；乏味的
vestigial,残留的；退化的
profundity,深奥；深刻
queue,队列；排队
myriad,无数的；大量的
transcend,超越；胜过
preponderant,占优势的；显著的
sumptuous,奢华的；豪华的
satire,讽刺；讽刺作品
sartorial,裁缝的；服装的
lucubration,刻苦钻研；学究之作
strut,趾高气扬地走；支柱
limerick,五行打油诗
supplicate,恳求；祈求
pariah,被社会遗弃者；贱民
vaporize,（使）蒸发；（使）消失
prowess,高超技艺；英勇
motile,能运动的
zest,热忱；趣味
pompous,自负的；浮夸的
substantial,可观的；实质性的
rectitude,正直；廉洁
molding,（装饰）线脚；模塑成型
whiff,一股气味；一丝迹象
verve,热情；活力
juggernaut,不可抗拒的强大力量
oxymoron,矛盾修辞法
singe,轻微烧焦
pachyderm,厚皮动物
wry,揶揄的；挪揄的；扭曲的
stalwart,健壮的；坚定的
regenerate,使再生；改造
vouch,担保；证明
smart,聪明的；时髦的
parrot,机械地模仿；鹦鹉
plumb,探究；查明；垂直的
mishap,小事故；晦气事
piddling,琐碎的；微不足道的
whimsical,异想天开的；古怪的
jaundice,黄疸；偏见
saccharine,甜得发腻的；做作的
malleable,可塑的；易受影响的
speculate,推测；投机
sabbatical,学术休假
perfervid,热烈的；炽热的
libertine,放荡不羁者；玩世不恭者
stanza,诗节
variegation,杂色；多样化
wince,畏缩；退缩
sulk,闷闷不乐；生闷气
startle,使受惊
shrine,圣地；神龛
shopworn,陈旧的；陈腐的
perambulate,漫步；巡视
turquoise,绿松石；青绿色
macerate,浸软；浸泡
vociferous,大声疾呼的；喧嚷的
pestle,杵；研杵
mischievous,调皮捣蛋的；有害的
prod,戳；促使
prohibitive,价格高得让人望而却步的；禁止的
opaque,不透明的；难懂的
solicitous,关切的；挂念的
panache,神气十足；派头
prudish,过分拘谨的；假正经的
sequela,后遗症
skimp,节省；克扣
sarcasm,讽刺；挖苦
potentiate,增强（效力/作用）
slouch,无精打采地走；懒散
recondite,深奥难懂的
proofread,校对
regimen,养生之道；摄生法；制度
languor,倦怠；无精打采
shard,碎片
leer,色眯眯地看
roister,喧闹作乐
lapse,失误；（时间）流逝
raisin,葡萄干
saunter,漫步；闲逛
prate,唠叨；喋喋不休
outwit,智胜；骗过
pore,毛孔；凝神细读
natty,整洁时髦的
tantalize,吊胃口；逗引
upbraid,申斥；责骂
viable,可行的；能存活的
striate,使有条纹
eaten,被吃掉的
reactant,反应物；反应剂
robust,强健的；坚固耐用的
viscid,黏稠的
omniscient,无所不知的
spontaneous,自发的；自然流露的
malinger,装病逃避
jest,玩笑；戏言
squabble,争吵；口角
providential,天意的；幸运的
nicety,细微之处；精确
momentous,重大的；重要的
refractory,倔强难管的；耐火的
treacherous,背叛的；（环境）险恶的
septic,感染的；化脓性的
padding,填充物；赘述
morbid,病态的；恐怖的
resourceful,足智多谋的
off,（食物）变质的；不对劲的
mastery,精通；掌握
nettle,激怒；荨麻
olfaction,嗅觉
squat,蹲下；矮胖的
solidify,（使）凝固；（使）巩固
mesmerism,催眠术
oblivious,未察觉的；遗忘的
valiant,英勇的
jettison,抛弃；丢弃
sinecure,闲职；闲差
terse,言简意赅的
needy,贫困的；贫穷的
reckless,鲁莽的；不顾后果的
nauseate,使作呕；使厌恶
limber,柔韧的；灵活的
perspicuity,明晰；清楚
unpretentious,朴实无华的；不铺张的
temerity,鲁莽；蛮勇
rustic,乡野的；粗陋的
pitiless,无情的；冷酷的
mawkish,矫情做作而多愁的
pedestal,底座；基础
linger,逗留；拖延
stipple,点刻；点描
vaccinate,接种（疫苗）
jargon,行话；术语
subtlety,微妙；巧妙
repugnant,令人厌恶的；相抵触的
strait,海峡；困境
want,匮乏；需要
repudiate,否认；拒绝接受
nonplus,使困惑窘迫
taper,逐渐变细（变少）；细蜡烛
mortar,砂浆；臼
rapport,融洽；和谐关系
wit,机智；才思
supple,柔软灵活的
vituperate,痛斥；辱骂
sensation,轰动；感觉
scotch,制止；挫败
symbiosis,共生
obfuscate,使模糊；使混淆
luminary,杰出人物；名流
rookie,新手；菜鸟
languid,倦怠的；无精打采的
preservative,防腐剂
undermine,逐步削弱；暗中破坏
lithe,轻盈柔韧的
proselytize,使改宗；劝诱加入
psychology,心理学；心理
tenacious,顽强的；执着的
scrupulous,一丝不苟的；有道德的
spate,大量；一连串
reflect,反映；深思
truculent,好斗的；尖刻的
jocund,快活的；愉快的
retouch,修饰；润色
sincere,真诚的；诚恳的
trophy,奖杯；战利品
rudimentary,初步的；未充分发展的
shrewd,精明的；敏锐的
tackle,处理；着手解决
masticate,咀嚼
perforate,打孔；穿孔
lamentable,可悲的；令人惋惜的
swindle,诈骗；欺诈
wretched,悲惨的；糟糕的
palliate,缓解；掩饰
treaty,条约；协定
tether,系绳；拴系
lathe,车床
linen,亚麻布；日用织品
wan,苍白的；憔悴的
partisan,偏袒的；党派的追随者
shallow,浅薄的；肤浅的
repertoire,（个人的）全部节目；曲目库
serfdom,农奴制
static,静态的；静止的
