abate,减轻，缓和,v
abjure,发誓放弃；公开否认,v
abstruse,深奥的；难解的,adj
abstemious,有节制的（饮食）,adj
accolade,荣誉；赞扬,n
acquiesce,默许；顺从,v
admonish,警告；劝诫,v
affable,和蔼可亲的；友善的,adj
alacrity,敏捷；欣然同意,n
allay,减轻；缓和（情绪/疼痛）,v
amenable,顺从的；有责任的,adj
amicable,友好的；和平的,adj
anathema,极讨厌的人/事；诅咒,n
anomalous,异常的；反常的,adj
apocryphal,伪造的；可疑的,adj
approbation,赞许；认可,n
ascetic,禁欲的；苦行的,adj
assiduous,勤奋的；刻苦的,adj
attenuate,使减弱；变薄,v
audacious,大胆的；鲁莽的,adj
aver,断言；坚称,v
banal,陈腐的；平庸的,adj
belie,掩饰；证明为假,v
bombast,夸大的言辞,n
bolster,支持；增强,v
burnish,打磨；抛光；改进（名声）,v
candor,坦率；直言不讳,n
caprice,反复无常；反复念头,n
castigate,严厉斥责,v
chicanery,诡计；欺骗,n
coalesce,合并；融合,v
cogent,有说服力的；令人信服的,adj
commensurate,相称的；相当的,adj
compliant,顺从的,adj
conciliate,安抚；调解,v
condone,宽恕；纵容,v
confound,使困惑；使混淆,v
contentious,有争议的；好争论的,adj
contrite,悔悟的；痛悔的,adj
convoluted,复杂的；盘绕的,adj
credulous,轻信的,adj
decorum,礼仪；端庄,n
deference,尊重；顺从,n
deprecate,反对；贬低,v
desiccate,使干燥；脱水,v
desultory,漫无目的的；散漫的,adj
diatribe,长篇抨击,n
dilatory,拖拉的；慢的,adj
dilettante,业余爱好者（含贬）,n
disabuse,使醒悟；纠正错误观念,v
dissemble,掩饰；假装,v
disseminate,传播；散布,v
distend,膨胀；扩张,v
dormant,休眠的,adj
dupe,受骗者；欺骗,n/v
ebullient,热情洋溢的,adj
effrontery,厚颜无耻,n
elicit,引出；诱出,v
embroider,刺绣；渲染,v
emulate,效仿；同…竞争,v
endemic,地方性的,adj
enervate,使衰弱,v
engender,引发；产生,v
ephemeral,短暂的；转瞬即逝的,adj
equivocate,含糊其辞,v
esoteric,深奥的；秘传的,adj
exacerbate,恶化；加剧,v
exculpate,开脱；使无罪,v
exonerate,使无罪；免除责任,v
facetious,开玩笑的；滑稽的,adj
fallacy,谬误；谬论,n
fatuous,愚蠢的；愚昧的,adj
fawn,奉承；小鹿,v
fervid,热烈的；热情的,adj
florid,华丽的；红润的,adj
foment,煽动；挑起,v
frugal,节俭的；节约的,adj
gainsay,否认；反驳,v
garrulous,话多的；饶舌的,adj
gregarious,群居的；爱交际的,adj
guile,狡诈；诡计,n
harangue,长篇演说；训斥,n/v
iconoclast,偶像破坏者；反传统者,n
imperturbable,冷静的；沉着的,adj
impervious,不透的；不受影响的,adj
implacable,不宽容的；无情的,adj
imadvertent,无意的；不小心的,adj
inchoate,初期的；未形成的,adj
inconsequential,不重要的；无关紧要的,adj
indolent,懒惰的；怠惰的,adj
ineffable,不可言喻的；难以形容的,adj
inimical,敌对的；有害的,adj
innocuous,无害的；无毒的,adj
insipid,乏味的；平淡的,adj
insular,孤立的；狭隘的,adj
intransigent,不妥协的；顽固的,adj
inundate,淹没；使充满,v
irascible,易怒的；暴躁的,adj
laconic,简洁的；言简意赅的,adj
lassitude,疲乏；倦怠,n
lethargic,昏昏欲睡的；无精打采的,adj
loquacious,健谈的；话多的,adj
lucid,清楚易懂的；神志清醒的,adj
malleable,可塑的；易受影响的,adj
mendacious,撒谎的；虚假的,adj
misanthrope,厌世者；愤世嫉俗者,n
mollify,缓和；安抚,v
morose,忧郁的；阴沉的,adj
neophyte,新手；新入教者,n
obdurate,顽固不化的；冷酷的,adj
obsequious,谄媚的；奉承的,adj
obviate,排除；使不必要,v
onerous,繁重的；艰巨的,adj
opaque,不透明的；难懂的,adj
opprobrious,辱骂的；可耻的,adj
ostentatious,炫耀的；铺张的,adj
paragon,典范；完人,n
partisan,偏袒的；党派的追随者,adj/n
paucity,缺乏；不足,n
perfidy,背信弃义；背叛,n
perfunctory,敷衍的；草率的,adj
peripheral,边缘的；次要的,adj
pernicious,有害的；恶性的,adj
perspicacious,有洞察力的；敏锐的,adj
peruse,细读；精读,v
pervade,弥漫；遍及,v
phlegmatic,冷淡的；迟钝的,adj
pliant,柔顺的；易受影响的,adj
plethora,过多；过剩,n
precarious,不稳的；危险的,adj
precipitate,使突然发生；仓促的；沉淀物,adj/v
precursor,先驱；前体,n
presumptuous,放肆的；冒昧的,adj
prevaricate,搪塞；闪烁其词,v
probity,正直；廉洁,n
